SN,Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
1023,Maruti Ritz VDi,2013,Diesel,Manual,1248 CC,73.94 bhp,190Nm@ 2000rpm,5,23.2 kmpl,100000,Third Owner,Individual,409999
1024,Ford Fiesta EXi 1.4 TDCi Ltd,2011,Diesel,Manual,1399 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5,17.8 kmpl,110000,Third Owner,Individual,300000
1025,Tata Indica V2 DLG TC,2008,Diesel,Manual,1405 CC,68 bhp,"13@ 2,500(kgm@ rpm)",5,16.8 kmpl,120000,Third Owner,Individual,175000
1026,Maruti Alto LX,2000,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,206000,Fourth & Above Owner,Individual,108000
1027,Maruti Celerio ZXI,2017,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,23.1 kmpl,40000,Second Owner,Individual,425000
1028,Chevrolet Optra Magnum 2.0 LS,2011,Diesel,Manual,1991 CC,123.7 bhp,305Nm@ 2000rpm,5,16.52 kmpl,170000,Fourth & Above Owner,Individual,272000
1029,Hyundai i10 Magna 1.1L,2013,Petrol,Manual,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,19.81 kmpl,70000,First Owner,Individual,310000
1030,Hyundai Creta 1.4 CRDi S Plus,2017,Diesel,Manual,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5,21.38 kmpl,105000,First Owner,Individual,1125000
1031,Hyundai Xcent 1.2 Kappa S Option,2014,Petrol,Manual,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5,19.1 kmpl,46000,Second Owner,Individual,450000
1032,Volkswagen Polo Diesel Highline 1.2L,2011,Diesel,Manual,1199 CC,73.9 bhp,180Nm@ 2000rpm,5,22.07 kmpl,80000,Second Owner,Individual,388000
1033,Hyundai Verna Transform SX VTVT,2011,Petrol,Manual,1599 CC,103.2 bhp,14.9 KGM at 3000 RPM,5,16.2 kmpl,60000,First Owner,Individual,400000
1034,Honda City i DTEC VX,2015,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.1 kmpl,70000,Third Owner,Individual,760000
1035,Maruti Alto LXi,2009,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,90000,First Owner,Individual,120000
1036,Maruti Swift Dzire VDI,2019,Diesel,Manual,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,28.4 kmpl,25000,First Owner,Individual,757000
1037,Maruti Alto 800 VXI,2015,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,22.74 kmpl,53000,Second Owner,Individual,270000
1038,Tata Sumo MKII GX BS IV,2011,Diesel,Manual,2179 CC,118.35 bhp,250Nm@ 1500-3000rpm,7,13.55 kmpl,90000,Second Owner,Individual,250000
1039,Toyota Innova Crysta 2.5 VX BS IV,2011,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,12.8 kmpl,60000,First Owner,Individual,800000
1040,Toyota Fortuner 4x2 Manual,2014,Diesel,Manual,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,13.0 kmpl,150000,First Owner,Individual,1380000
1041,Mahindra Thar CRDe AC,2014,Diesel,Manual,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6,16.55 kmpl,24000,First Owner,Individual,700000
1042,Honda Mobilio S i DTEC,2016,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,7,24.2 kmpl,100000,Second Owner,Individual,450000
1043,Mahindra KUV 100 G80 K8,2018,Petrol,Manual,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6,18.15 kmpl,6000,First Owner,Individual,650000
1044,Mahindra XUV500 W8 2WD,2013,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,15.1 kmpl,49700,First Owner,Individual,950000
1045,Toyota Innova 2.5 E Diesel MS 7-seater,2007,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,12.8 kmpl,80000,Second Owner,Individual,626000
1046,Toyota Qualis Fleet A3,2000,Diesel,Manual,,,,,,100000,First Owner,Individual,200000
1047,Maruti Swift Dzire AMT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,10000,First Owner,Individual,600000
1048,Renault KWID RXT Optional,2019,Petrol,Manual,799 CC,53.3 bhp,72Nm@ 4386rpm,5,25.17 kmpl,21000,First Owner,Individual,290000
1049,Maruti Alto K10 2010-2014 VXI,2013,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,20.92 kmpl,25000,First Owner,Individual,215000
1050,Renault KWID RXT Optional,2016,Petrol,Manual,799 CC,53.3 bhp,72Nm@ 4386rpm,5,25.17 kmpl,22000,First Owner,Individual,250000
1051,Maruti Ertiga SHVS ZDI Plus,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,50000,First Owner,Individual,750000
1052,Maruti Alto K10 VXI,2016,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,23.95 kmpl,20000,Second Owner,Individual,250000
1053,Honda BRV i-VTEC V CVT,2017,Petrol,Automatic,1497 CC,117.3 bhp,145Nm@ 4600rpm,7,15.4 kmpl,15000,First Owner,Individual,950000
1054,Ford Figo Aspire 1.5 TDCi Titanium,2018,Diesel,Manual,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5,25.83 kmpl,30000,First Owner,Individual,793000
1055,Hyundai Creta 1.6 CRDi SX Option,2015,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,74000,First Owner,Individual,750000
1056,Honda Jazz V CVT,2017,Petrol,Automatic,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,6550,First Owner,Individual,725000
1057,Hyundai Grand i10 CRDi Sportz,2016,Diesel,Manual,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,24.0 kmpl,30000,First Owner,Individual,
1058,BMW X6 xDrive30d,2013,Diesel,Automatic,2993 CC,241 bhp,540Nm@ 2000rpm,4,11.2 kmpl,56000,First Owner,Dealer,3750000
1059,Maruti Swift Dzire ZXI Plus,2018,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,41779,First Owner,Dealer,795000
1060,Honda Jazz 1.2 V i VTEC,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.7 kmpl,54000,First Owner,Dealer,625000
1061,Mercedes-Benz E-Class E250 CDI Avantgarde,2016,Diesel,Automatic,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5,13.0 kmpl,31000,First Owner,Dealer,2900000
1062,Maruti Ignis 1.3 AMT Zeta,2017,Diesel,Automatic,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.8 kmpl,37000,First Owner,Individual,625000
1063,Chevrolet Cruze LTZ AT,2011,Diesel,Automatic,1991 CC,147.9 bhp,327Nm@ 2600rpm,4,18.1 kmpl,90000,Second Owner,Individual,440000
1064,Toyota Corolla Altis 1.8 G,2018,Petrol,Manual,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,14.28 kmpl,13534,First Owner,Dealer,1400000
1065,Toyota Corolla Altis 1.8 VL AT,2017,Petrol,Automatic,1794 CC,138.1 bhp,173Nm@ 4000rpm,5,14.53 kmpl,7000,Second Owner,Dealer,1450000
1066,Mercedes-Benz GLA Class 200 CDI SPORT,2017,Diesel,Automatic,2143 CC,136 bhp,300Nm@ 1600-3000rpm,5,17.9 kmpl,23000,First Owner,Dealer,2700000
1067,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,Diesel,Automatic,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,8,11.36 kmpl,43000,First Owner,Dealer,1925000
1068,Kia Seltos HTX Plus AT D,2020,Diesel,Automatic,1493 CC,113.4 bhp,250nm@ 1500-2750rpm,5,17.8 kmpl,5000,First Owner,Dealer,1900000
1069,Maruti Ciaz RS ZDi Plus SHVS,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,28.09 kmpl,70000,First Owner,Dealer,844999
1070,Skoda Rapid 1.5 TDI AT Style Plus,2016,Diesel,Automatic,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,21.66 kmpl,99000,First Owner,Dealer,650000
1071,Maruti Swift ZXI 2018,2018,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,15000,First Owner,Dealer,750000
1072,BMW 6 Series GT 630d Luxury Line,2018,Diesel,Automatic,2993 CC,261.4 bhp,620Nm@ 2000-2500rpm,4,17.09 kmpl,28156,First Owner,Dealer,6000000
1073,Honda Jazz 1.2 SV i VTEC,2015,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.7 kmpl,30000,First Owner,Dealer,610000
1074,Toyota Fortuner 2.8 2WD AT BSIV,2018,Diesel,Automatic,2755 CC,174.5 bhp,450Nm@ 1600-2400rpm,7,12.9 kmpl,100000,First Owner,Dealer,2940000
1075,Hyundai Creta 1.6 CRDi SX,2017,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,63309,First Owner,Dealer,1150000
1076,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,Diesel,Automatic,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,11.36 kmpl,94000,First Owner,Dealer,1825000
1077,Hyundai Elite i20 Asta Option CVT BSIV,2018,Petrol,Automatic,1197 CC,81.86 bhp,117nm@ 4000rpm,5,17.4 kmpl,29000,First Owner,Dealer,890000
1078,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2625000
1079,Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
1080,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
1081,Tata Safari Storme EX,2015,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,14.1 kmpl,110000,First Owner,Individual,503000
1082,Volvo XC40 D4 Inscription BSIV,2019,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,20000,First Owner,Individual,3800000
1083,Toyota Camry 2.5 Hybrid,2016,Petrol,Automatic,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,19.16 kmpl,68089,First Owner,Trustmark Dealer,2000000
1084,Maruti Wagon R LXI,2013,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,58343,First Owner,Trustmark Dealer,225000
1085,Maruti Baleno Alpha 1.3,2018,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,38817,First Owner,Dealer,740000
1086,Honda Jazz VX,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,56494,First Owner,Trustmark Dealer,550000
1087,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,79328,Second Owner,Trustmark Dealer,750000
1088,Maruti Swift AMT VVT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,5621,First Owner,Trustmark Dealer,650000
1089,Toyota Etios VX,2017,Petrol,Manual,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,16.78 kmpl,25538,First Owner,Trustmark Dealer,625000
1090,Maruti Swift AMT ZXI,2018,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,69779,First Owner,Dealer,600000
1091,Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,56290,First Owner,Dealer,
1092,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5400000
1093,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,8500,First Owner,Dealer,5500000
1094,Honda Amaze V CVT Petrol BSIV,2019,Petrol,Automatic,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,19.0 kmpl,7032,First Owner,Trustmark Dealer,779000
1095,Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
1096,Volvo V40 D3 R-Design,2018,Diesel,Automatic,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,16.8 kmpl,2000,First Owner,Dealer,2475000
1097,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2625000
1098,Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
1099,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
1100,Tata Safari Storme EX,2015,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,14.1 kmpl,110000,First Owner,Individual,503000
1101,Volvo XC40 D4 Inscription BSIV,2019,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,20000,First Owner,Individual,3800000
1102,Toyota Camry 2.5 Hybrid,2016,Petrol,Automatic,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,19.16 kmpl,68089,First Owner,Trustmark Dealer,2000000
1103,Maruti Wagon R LXI,2013,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,58343,First Owner,Trustmark Dealer,225000
1104,Maruti Baleno Alpha 1.3,2018,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,38817,First Owner,Dealer,740000
1105,Honda Jazz VX,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,56494,First Owner,Trustmark Dealer,550000
1106,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,79328,Second Owner,Trustmark Dealer,750000
1107,Maruti Swift AMT VVT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,5621,First Owner,Trustmark Dealer,650000
1108,Toyota Etios VX,2017,Petrol,Manual,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,16.78 kmpl,25538,First Owner,Trustmark Dealer,625000
1109,Maruti Swift AMT ZXI,2018,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,69779,First Owner,Dealer,600000
1110,Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,56290,First Owner,Dealer,
1111,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5400000
1112,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,8500,First Owner,Dealer,5500000
1113,Honda Amaze V CVT Petrol BSIV,2019,Petrol,Automatic,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,19.0 kmpl,7032,First Owner,Trustmark Dealer,779000
1114,Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
1115,Volvo V40 D3 R-Design,2018,Diesel,Automatic,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,16.8 kmpl,2000,First Owner,Dealer,2475000
1116,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2625000
1117,Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
1118,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
1119,Tata Safari Storme EX,2015,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,14.1 kmpl,110000,First Owner,Individual,503000
1120,Volvo XC40 D4 Inscription BSIV,2019,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,20000,First Owner,Individual,3800000
1121,Toyota Camry 2.5 Hybrid,2016,Petrol,Automatic,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,19.16 kmpl,68089,First Owner,Trustmark Dealer,2000000
1122,Maruti Wagon R LXI,2013,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,58343,First Owner,Trustmark Dealer,225000
1123,Maruti Baleno Alpha 1.3,2018,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,38817,First Owner,Dealer,740000
1124,Honda Jazz VX,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,56494,First Owner,Trustmark Dealer,550000
1125,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,79328,Second Owner,Trustmark Dealer,750000
1126,Maruti Swift AMT VVT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,5621,First Owner,Trustmark Dealer,650000
1127,Toyota Etios VX,2017,Petrol,Manual,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,16.78 kmpl,25538,First Owner,Trustmark Dealer,625000
1128,Maruti Swift AMT ZXI,2018,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,69779,First Owner,Dealer,600000
1129,Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,56290,First Owner,Dealer,
1130,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5400000
1131,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,8500,First Owner,Dealer,5500000
1132,Honda Amaze V CVT Petrol BSIV,2019,Petrol,Automatic,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,19.0 kmpl,7032,First Owner,Trustmark Dealer,779000
1133,Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
1134,Volvo V40 D3 R-Design,2018,Diesel,Automatic,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,16.8 kmpl,2000,First Owner,Dealer,2475000
1135,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2625000
1136,Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
1137,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
1138,Tata Safari Storme EX,2015,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,14.1 kmpl,110000,First Owner,Individual,503000
1139,Volvo XC40 D4 Inscription BSIV,2019,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,20000,First Owner,Individual,3800000
1140,Toyota Camry 2.5 Hybrid,2016,Petrol,Automatic,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,19.16 kmpl,68089,First Owner,Trustmark Dealer,2000000
1141,Maruti Wagon R LXI,2013,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,58343,First Owner,Trustmark Dealer,225000
1142,Maruti Baleno Alpha 1.3,2018,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,38817,First Owner,Dealer,740000
1143,Honda Jazz VX,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,56494,First Owner,Trustmark Dealer,550000
1144,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,79328,Second Owner,Trustmark Dealer,750000
1145,Maruti Swift AMT VVT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,5621,First Owner,Trustmark Dealer,650000
1146,Toyota Etios VX,2017,Petrol,Manual,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,16.78 kmpl,25538,First Owner,Trustmark Dealer,625000
1147,Maruti Swift AMT ZXI,2018,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,69779,First Owner,Dealer,600000
1148,Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,56290,First Owner,Dealer,
1149,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5400000
1150,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,8500,First Owner,Dealer,5500000
1151,Honda Amaze V CVT Petrol BSIV,2019,Petrol,Automatic,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,19.0 kmpl,7032,First Owner,Trustmark Dealer,779000
1152,Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
1153,Volvo V40 D3 R-Design,2018,Diesel,Automatic,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,16.8 kmpl,2000,First Owner,Dealer,2475000
1154,Tata Indigo CS eLX BS IV,2017,Diesel,Manual,1396 CC,69.01 bhp,140Nm@ 1800-3000rpm,5,25.0 kmpl,155000,First Owner,Individual,385000
1155,Maruti Celerio ZXI AT,2016,Petrol,Automatic,998 CC,67.04 bhp,90Nm@ 3500rpm,5,23.1 kmpl,35000,First Owner,Individual,400000
1156,Hyundai Grand i10 1.2 CRDi Sportz Option,2018,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,50000,First Owner,Individual,
1157,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,Diesel,Manual,2499 CC,80 bhp,"19@ 1,800(kgm@ rpm)",7,14.8 kmpl,185000,First Owner,Individual,270000
1158,Tata Indigo CS LS (TDI) BS III,2013,Diesel,Manual,1396 CC,69 bhp,135Nm@ 2500rpm,5,19.09 kmpl,175000,Second Owner,Individual,200000
1159,Renault KWID RXT Optional,2016,Petrol,Manual,799 CC,53.3 bhp,72Nm@ 4386rpm,5,25.17 kmpl,11500,First Owner,Individual,310000
1160,Hyundai Xcent 1.2 CRDi S,2019,Diesel,Manual,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5,25.4 kmpl,3000,First Owner,Individual,
1161,Chevrolet Sail LT ABS,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 1750rpm,5,22.1 kmpl,80000,Second Owner,Individual,480000
1162,Maruti Alto LXI,2005,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,40000,Second Owner,Individual,90000
1163,Maruti Alto LXI,2005,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,40000,Second Owner,Individual,80000
1164,Maruti Ritz VDi,2015,Diesel,Manual,1248 CC,73.94 bhp,190Nm@ 2000rpm,5,23.2 kmpl,90000,First Owner,Individual,350000
1165,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,23.65 kmpl,100000,First Owner,Individual,600000
1166,Mahindra Scorpio M2DI,2011,Diesel,Manual,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5,13.5 kmpl,120000,Third Owner,Individual,350000
1167,Maruti Vitara Brezza VDi Option,2018,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,50000,First Owner,Individual,770000
1168,Mahindra Verito 1.5 D6 BSIV,2012,Diesel,Manual,1461 CC,65 bhp,160Nm@ 2000rpm,5,21.03 kmpl,25000,First Owner,Individual,350000
1169,Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,12.05 kmpl,50000,Third Owner,Individual,600000
1170,Mahindra TUV 300 T8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,71000,First Owner,Individual,750000
1171,Maruti Wagon R VXI BS IV,2016,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,40000,First Owner,Individual,340000
1172,Hyundai Elite i20 Petrol Sportz,2018,Petrol,Manual,1197 CC,81.86 bhp,114.73nm@ 4000rpm,5,18.6 kmpl,31800,First Owner,Individual,650000
1173,Hyundai i10 Sportz,2014,Petrol,Manual,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,20.36 kmpl,65000,First Owner,Individual,300000
1174,Maruti Alto 800 LXI,2014,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,22.74 kmpl,15000,Second Owner,Individual,204999
1175,Mahindra Verito 1.5 D4 BSIII,2012,Diesel,Manual,1461 CC,65 bhp,160Nm@ 2000rpm,5,20.8 kmpl,70000,Second Owner,Individual,254999
1176,Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,Petrol,Manual,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,18.16 kmpl,5000,First Owner,Individual,650000
1177,Hyundai EON Magna Plus,2017,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,50000,Second Owner,Individual,280000
1178,Tata Indica V2 DLS,2011,Diesel,Manual,1396 CC,53.5 bhp,"8.5@ 2,500(kgm@ rpm)",5,17.2 kmpl,80000,First Owner,Individual,100000
